Run_ID,Nodes,Planner_Type,Approach,Compilation,Road_Abs,Cong_Mode,Cong_Type,Cong_Rep,Fuel_En,Fuel_Mode,Fuel_Rep,Start_Node,Goal_Node,Status,Basic_Planner_Time_sec,Basic_Grounding_Time_sec,LLM_Planner_Time_sec,LLM_Grounding_Time_sec,Sum_Basic_Planner_Time_sec,Basic_Planner_Time_List_sec,Sum_Basic_Grounding_Time_sec,Basic_Grounding_Time_List_sec,Basic_Planner_Calls,Sum_LLM_Planner_Time_sec,LLM_Planner_Time_List_sec,Sum_LLM_Grounding_Time_sec,LLM_Grounding_Time_List_sec,LLM_Planner_Calls,Failure_Reason
RUN_065,500,compiled_duration,line_graph,compiled,True,pddl,hybrid,False,False,N/A,False,loc_0173,loc_0034,Success,16.535,4.82,18.313,5.07,,,,,1,,,,,1,
RUN_066,1000,compiled_duration,line_graph,compiled,True,pddl,hybrid,False,False,N/A,False,loc_0425,loc_0342,Success,103.992,31.51,83.336,33.744,,,,,1,,,,,1,
RUN_067,1500,compiled_duration,line_graph,compiled,True,pddl,hybrid,False,False,N/A,False,loc_1037,loc_0935,Success,299.261,106.007,254.185,82.376,,,,,1,,,,,1,
RUN_068,2000,compiled_duration,line_graph,compiled,True,pddl,hybrid,False,False,N/A,False,loc_1591,loc_1217,Success,489.018,170.379,642.647,192.945,,,,,1,,,,,1,
RUN_069,500,process,node_based,parameterized,True,pddl,dynamic,True,False,N/A,False,loc_0327,loc_0416,Success,,,,,3311.933,,1628.776,,16,,,,,0,
RUN_070,700,process,node_based,parameterized,True,pddl,dynamic,True,False,N/A,False,loc_0611,loc_0695,Success,,,,,6912.557,,3396.99,,11,,,,,0,
RUN_071,1000,process,node_based,parameterized,True,pddl,dynamic,True,False,N/A,False,loc_0994,loc_0079,Timeout,,,,,14115.982,,6878.488,,7,,,,,0,Exceeded the 14400-second wall-clock limit; no OOM evidence
RUN_072,500,process,node_based,parameterized,True,pddl,static,False,True,discrete,True,loc_0327,loc_0416,Success,,,,,1003.619,,490.251,,5,,,,,0,
RUN_073,700,process,node_based,parameterized,True,pddl,static,False,True,discrete,True,loc_0611,loc_0695,Success,,,,,3181.071,,1570.922,,5,,,,,0,
RUN_074,1000,process,node_based,parameterized,True,pddl,static,False,True,discrete,True,loc_0994,loc_0079,Timeout,,,,,,,,,4,,,,,0,Manual stop after 8113 seconds and four completed ENHSP calls; observed scaling projected beyond the 14400-second budget; no OOM evidence
